run,fixture,variant,median_ns,min_ns,max_ns,thread_cycles,operations_per_second,allocations,reallocations,frees
3,middle/8,after,9.0,8.4,11.2,19.8,110875946.4,0,0,0
3,last/8,before,9.2,8.5,9.3,19.9,108786985.9,0,0,0
3,last/8,after,9.7,8.9,10.9,21.2,103450670.9,0,0,0
3,fit/8,before,9.8,9.1,20.3,21.4,102396000.2,0,0,0
3,fit/8,after,9.3,8.6,11.8,20.3,108073878.6,0,0,0
3,miss/8,before,8.2,7.9,9.0,17.8,122502920.7,0,0,0
3,miss/8,after,9.1,8.1,10.2,20.0,109752564.4,0,0,0
3,equal/32,before,27.8,25.9,28.4,60.2,35958409.9,0,0,0
3,equal/32,after,1.4,1.4,2.6,3.2,689852631.6,0,0,0
3,first/32,before,27.2,26.9,27.6,59.4,36740059.7,0,0,0
3,first/32,after,1.5,1.4,1.7,3.2,682666666.7,0,0,0
3,middle/32,before,26.3,25.0,29.1,56.7,37986378.8,0,0,0
3,middle/32,after,27.4,25.7,27.6,59.1,36541860.7,0,0,0
3,last/32,before,27.2,25.9,28.3,58.8,36773560.0,0,0,0
3,last/32,after,27.4,26.4,28.1,59.9,36438241.9,0,0,0
3,fit/32,before,27.3,26.3,28.5,59.1,36596956.6,0,0,0
3,fit/32,after,27.2,26.5,33.8,59.3,36704050.6,0,0,0
3,miss/32,before,23.9,22.2,24.6,51.4,41880052.4,0,0,0
3,miss/32,after,23.9,22.9,24.3,52.4,41791920.4,0,0,0
