suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
thumbnail,2,thumbnail/sheet2x1/320x160,new,1109143.8,1085056.2,1166843.8,2428506.9,901.6,18,1,18,641281,641281
thumbnail,2,thumbnail/sheet2x1/320x160,old,1138356.2,1114693.8,1196943.8,2493300.5,878.5,19,1,19,743681,743681
thumbnail,2,thumbnail/sheet16x8/320x160,new,1109962.5,1011762.5,1260268.8,2430125.6,900.9,18,1,18,641284,641284
thumbnail,2,thumbnail/sheet16x8/320x160,old,1027368.8,995800.0,1120781.2,2249545.7,973.4,19,1,19,642884,642884
thumbnail,2,thumbnail/plain/1024x512,new,9471025.0,9351056.2,9913725.0,20736988.0,105.6,15,1,15,2533597,2533597
thumbnail,2,thumbnail/plain/1024x512,old,9391225.0,9344062.5,9831875.0,20574270.2,106.5,15,1,15,2533597,2533597
thumbnail,2,thumbnail/sheet1x1/1024x512,new,9581431.2,9488243.8,9772325.0,20991018.6,104.4,18,1,18,2533633,2533633
thumbnail,2,thumbnail/sheet1x1/1024x512,old,10694643.8,10563231.2,10741762.5,23419388.1,93.5,19,1,19,4630785,4630785
thumbnail,2,thumbnail/sheet2x1/1024x512,new,9054825.0,9009550.0,9141018.8,19835117.2,110.4,18,1,18,2533633,2533633
thumbnail,2,thumbnail/sheet2x1/1024x512,old,9564081.2,9465493.8,9832125.0,20936925.2,104.6,19,1,19,3582209,3582209
thumbnail,2,thumbnail/sheet16x8/1024x512,new,8488825.0,8429050.0,8625287.5,18593461.0,117.8,18,1,18,2533636,2533636
thumbnail,2,thumbnail/sheet16x8/1024x512,old,8445218.8,8382487.5,8474187.5,18498472.5,118.4,19,1,19,2550020,2550020
thumbnail,2,thumbnail_frame/64x64,new,91900.0,89406.2,109775.0,201446.1,10881.4,1,0,1,14400,14400
thumbnail,2,thumbnail_frame/64x64,old,92193.8,91943.8,106862.5,202132.1,10846.7,2,0,2,30784,30784
thumbnail,2,thumbnail_frame/256x256,new,285587.5,246787.5,323112.5,625780.8,3501.6,1,0,1,14400,14400
thumbnail,2,thumbnail_frame/256x256,old,356656.2,309781.2,411287.5,782407.8,2803.8,2,0,2,276544,276544
thumbnail,2,thumbnail_frame/1024x512,new,1221843.8,1208712.5,1240068.8,2672618.3,818.4,1,0,1,14400,14400
thumbnail,2,thumbnail_frame/1024x512,old,2350406.2,2326912.5,2374831.2,5115666.9,425.5,2,0,2,2111552,2111552
assets,3,fallback/correct/1x1,old,86400.0,80468.8,109143.8,189154.1,11574.1,11,1,11,37270,37270
assets,3,fallback/correct/1x1,new,85006.2,80168.8,92143.8,186108.6,11763.8,10,1,10,37227,37227
assets,3,fallback/mismatch/1x1,old,187781.2,181575.0,190200.0,406486.6,5325.3,16,1,16,45730,45730
assets,3,fallback/mismatch/1x1,new,111906.2,109775.0,127575.0,245167.8,8936.1,12,1,12,37374,37374
assets,3,fallback/unknown/1x1,old,92168.8,91306.2,98081.2,201720.5,10849.7,13,1,13,37282,37282
assets,3,fallback/unknown/1x1,new,93350.0,90518.8,96718.8,204423.1,10712.4,13,1,13,37282,37282
assets,3,banner/1x1,old,84300.0,82231.2,93681.2,182267.3,11862.4,12,1,12,37272,37272
assets,3,banner/1x1,new,82231.2,81600.0,92025.0,180017.4,12160.8,10,1,10,37225,37225
assets,3,fallback/correct/320x80,old,708600.0,643231.2,721293.8,1541274.1,1411.2,11,1,11,439186,439186
assets,3,fallback/correct/320x80,new,680300.0,676387.5,742793.8,1481350.7,1469.9,10,1,10,439143,439143
assets,3,fallback/mismatch/320x80,old,893356.2,701368.8,983862.5,1942328.2,1119.4,16,1,16,536733,536733
assets,3,fallback/mismatch/320x80,new,580418.8,559150.0,664650.0,1263140.3,1722.9,12,1,12,528377,528377
assets,3,fallback/unknown/320x80,old,566675.0,541800.0,580650.0,1228706.2,1764.7,13,1,13,439198,439198
assets,3,fallback/unknown/320x80,new,601700.0,575131.2,632981.2,1306463.9,1662.0,13,1,13,439198,439198
assets,3,banner/320x80,old,751462.5,733562.5,789681.2,1635467.0,1330.7,12,1,12,541584,541584
assets,3,banner/320x80,new,682456.2,634543.8,719581.2,1453885.8,1465.3,10,1,10,439141,439141
assets,3,fallback/correct/1024x512,old,8419412.5,8324356.2,8657362.5,18318454.8,118.8,11,1,11,2519186,2519186
assets,3,fallback/correct/1024x512,new,8346800.0,8295750.0,9153893.8,18153088.7,119.8,10,1,10,2519143,2519143
assets,3,fallback/mismatch/1024x512,old,9144312.5,9081431.2,9422450.0,19908416.8,109.4,16,1,16,4350658,4350658
assets,3,fallback/mismatch/1024x512,new,9023500.0,8971162.5,10470218.8,19631792.0,110.8,12,1,12,4342302,4342302
assets,3,fallback/unknown/1024x512,old,8339500.0,8203687.5,9084900.0,18150084.4,119.9,13,1,13,2519198,2519198
assets,3,fallback/unknown/1024x512,new,8283237.5,8193687.5,8514987.5,18015421.2,120.7,13,1,13,2519198,2519198
assets,3,banner/1024x512,old,8872100.0,8831568.8,9101300.0,19313132.1,112.7,12,1,12,4616336,4616336
assets,3,banner/1024x512,new,8285825.0,8199693.8,8373206.2,18024256.1,120.7,10,1,10,2519141,2519141
assets,3,fallback/invalid.png,old,156537.5,148781.2,166787.5,342570.9,6388.2,21,0,21,55933,55933
assets,3,fallback/invalid.png,new,86637.5,85400.0,97112.5,189716.6,11542.3,13,0,13,47567,47567
assets,3,fallback/unknown.data,old,78781.2,72075.0,81062.5,170990.5,12693.4,10,0,10,8382,8382
assets,3,fallback/unknown.data,new,76625.0,72243.8,91625.0,168411.4,13050.6,9,0,9,8378,8378
assets,3,rgba_owned/1x1,old,100.0,96.9,103.1,1358.1,10000000.0,1,0,1,4,4
assets,3,rgba_owned/1x1,new,46.9,40.6,84.4,1371.9,21333333.3,0,0,0,0,0
assets,3,rgba_owned/320x80,old,9256.2,8934.4,13384.4,21661.9,108035.1,1,0,1,102400,102400
assets,3,rgba_owned/320x80,new,37.5,31.2,50.0,1241.5,26666666.7,0,0,0,0,0
assets,3,rgba_owned/1024x512,old,717812.5,705184.4,742125.0,1566859.6,1393.1,1,0,1,2097152,2097152
assets,3,rgba_owned/1024x512,new,62.5,50.0,81.2,2188.1,16000000.0,0,0,0,0,0
assets,3,rgba_owned/2048x2048,old,5318571.9,5300721.9,5459281.2,11571498.1,188.0,1,0,1,16777216,16777216
assets,3,rgba_owned/2048x2048,new,46.9,46.9,65.6,2105.8,21333333.3,0,0,0,0,0
thumbnail,3,thumbnail/plain/64x64,old,382487.5,367518.8,405243.8,824304.8,2614.5,15,1,15,109533,109533
thumbnail,3,thumbnail/plain/64x64,new,372818.8,357781.2,423681.2,805043.8,2682.3,15,1,15,109533,109533
thumbnail,3,thumbnail/sheet1x1/64x64,old,408256.2,384337.5,429831.2,890223.5,2449.4,19,1,19,125953,125953
thumbnail,3,thumbnail/sheet1x1/64x64,new,380450.0,366812.5,407031.2,828790.8,2628.5,18,1,18,109569,109569
thumbnail,3,thumbnail/sheet2x1/64x64,old,382093.8,363600.0,432000.0,828324.5,2617.2,19,1,19,117761,117761
thumbnail,3,thumbnail/sheet2x1/64x64,new,379493.8,356218.8,393237.5,817568.9,2635.1,18,1,18,109569,109569
thumbnail,3,thumbnail/sheet16x8/64x64,old,370343.8,346425.0,404775.0,794878.1,2700.2,19,1,19,109700,109700
thumbnail,3,thumbnail/sheet16x8/64x64,new,350318.8,324243.8,422500.0,746752.7,2854.5,18,1,18,109572,109572
thumbnail,3,thumbnail/plain/320x160,old,1259650.0,1192831.2,1324156.2,2729372.8,793.9,15,1,15,641245,641245
thumbnail,3,thumbnail/plain/320x160,new,1175643.8,1148656.2,1221100.0,2557586.5,850.6,15,1,15,641245,641245
thumbnail,3,thumbnail/sheet1x1/320x160,old,1498943.8,1430493.8,1631393.8,3254197.2,667.1,19,1,19,846081,846081
