"run","case","channels","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"3","larger","8","after","256.1","248.5","263.3","558.3","3904043.1","0","0","0","0","0"
"3","partial","8","before","154.5","149","158.4","337","6472052.1","0","0","0","0","0"
"3","partial","8","after","157.8","149.3","161.7","343.6","6336786.8","0","0","0","0","0"
"3","partial-tail","8","before","154.9","146.4","159.4","338.1","6453887.4","0","0","0","0","0"
"3","partial-tail","8","after","153","148.4","163.2","333.5","6534877.6","0","0","0","0","0"
"3","empty","8","before","10.5","9.7","11.8","23","94842257.6","0","0","0","0","0"
"3","empty","8","after","10.3","9.8","12.6","22.7","96875092.4","0","0","0","0","0"
"1","decoder-packets","1","before","1348.3","1296.2","1368.7","2955.2","4563503201.6","0","0","0","0","0"
"1","decoder-packets","1","after","1302.3","1282.3","1318","2853.7","4724891240.7","0","0","0","0","0"
"1","small-packets","1","before","279.7","272.7","283.4","612.1","2455910891","0","0","0","0","0"
"1","small-packets","1","after","277.8","267","290.8","608.9","2472649147.4","0","0","0","0","0"
"1","decoder-packets","2","before","1874.5","1856.6","1942.3","4107.9","6565101999","0","0","0","0","0"
"1","decoder-packets","2","after","1796.3","1785.2","1812.2","3936.5","6850796294.6","0","0","0","0","0"
"1","small-packets","2","before","309.8","304.3","325","678.7","4434584915.4","0","0","0","0","0"
"1","small-packets","2","after","301.6","296.4","306.7","661","4555577905.7","0","0","0","0","0"
"1","decoder-packets","6","before","5775","5712","5792.6","12654.3","6392707003.6","0","0","0","0","0"
"1","decoder-packets","6","after","5717.3","5690.2","5755.6","12527.6","6457189911.4","0","0","0","0","0"
"1","small-packets","6","before","584.1","574.8","589.4","1279.4","7057117270.6","0","0","0","0","0"
"1","small-packets","6","after","588.3","573","592","1289.1","7006071181.3","0","0","0","0","0"
"2","decoder-packets","1","after","1271.4","1260.3","1296","2785.5","4839527812.3","0","0","0","0","0"
"2","decoder-packets","1","before","1369.2","1320.3","1412","2959.1","4493709344.2","0","0","0","0","0"
"2","small-packets","1","after","278.8","264.4","286.8","611.1","2463759398.5","0","0","0","0","0"
"2","small-packets","1","before","290.3","278.2","293.3","635.6","2366865836.4","0","0","0","0","0"
"2","decoder-packets","2","after","1817.2","1798.1","1824.3","3976.9","6771986380.2","0","0","0","0","0"
"2","decoder-packets","2","before","1903.9","1868.8","1960.6","4159.5","6463574270.3","0","0","0","0","0"
"2","small-packets","2","after","313.5","305.6","319.3","683.8","4382697472.5","0","0","0","0","0"
"2","small-packets","2","before","311.2","303","314.8","678.8","4415189436.5","0","0","0","0","0"
"2","decoder-packets","6","after","5755.1","5651.7","5793.9","12561.7","6414819027.1","0","0","0","0","0"
"2","decoder-packets","6","before","5792.6","5773.5","5832.2","12667.4","6373309471.1","0","0","0","0","0"
"2","small-packets","6","after","553.3","546","564.6","1211.5","7449613978.2","0","0","0","0","0"
"2","small-packets","6","before","558.5","553.9","595.9","1223.9","7381019038.7","0","0","0","0","0"
"3","decoder-packets","1","before","1308.3","1297.3","1354.3","2865.5","4703046950.8","0","0","0","0","0"
"3","decoder-packets","1","after","1261","1232.5","1335.9","2762.7","4879619933.6","0","0","0","0","0"
"3","small-packets","1","before","272.3","262.2","289.1","596.8","2522521892.6","0","0","0","0","0"
"3","small-packets","1","after","268.9","266.5","278.3","588.5","2555089495.5","0","0","0","0","0"
"3","decoder-packets","2","before","1885.8","1861.1","1935.2","4130.9","6525685803.6","0","0","0","0","0"
"3","decoder-packets","2","after","1822.8","1773","1828.1","3993.5","6751091084","0","0","0","0","0"
"3","small-packets","2","before","296.1","287.1","310","649.2","4640063484.5","0","0","0","0","0"
"3","small-packets","2","after","299.8","299.1","305.6","657","4583636918.9","0","0","0","0","0"
"3","decoder-packets","6","before","5721.3","5598","5805.6","12535.3","6452729563.9","0","0","0","0","0"
"3","decoder-packets","6","after","5682.9","5650.3","5733.8","12453.1","6496284603.1","0","0","0","0","0"
"3","small-packets","6","before","607.8","586.2","617.9","1331.7","6782343672.3","0","0","0","0","0"
"3","small-packets","6","after","584.3","571.9","598.7","1280.5","7054076640.9","0","0","0","0","0"
