suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
workshop,4,workshop_choices/1x0,new,2750.0,2731.2,2837.5,6118.6,727272.7,20,0,20,2518,2518
workshop,4,workshop_choices/1x0,old,3393.8,3381.2,3493.8,7517.9,589318.6,32,0,32,2896,2896
workshop,4,workshop_choices/64x0,new,217637.5,211456.2,277831.2,477412.5,588133.9,1187,1,1187,66275,66275
workshop,4,workshop_choices/64x0,old,282050.0,269100.0,337837.5,612432.5,453820.2,2157,0,2157,94745,94745
workshop,4,workshop_choices/512x0,new,1996681.2,1948818.8,2050781.2,4356553.6,512851.0,9446,2,9446,546660,546660
workshop,4,workshop_choices/512x0,old,2544481.2,2325593.8,2693887.5,5542498.3,402439.6,17248,0,17248,779490,779490
workshop,4,workshop_choices/512x4,new,3079793.8,2933225.0,3199043.8,6697041.3,332489.8,9446,1028,9446,776424,776424
workshop,4,workshop_choices/512x4,old,3897837.5,3733475.0,3946118.8,8445577.8,262709.8,25440,2048,25440,1467106,1467106
pack,5,runtime_key/0,old,418.4,380.3,481.8,919.4,2390010.5,2,2,2,80,80
pack,5,runtime_key/0,new,126.5,126.3,189.8,277.9,7905809.7,1,0,1,27,27
pack,5,compiler_key/0,old,452.2,426.4,536.4,992.4,2211304.9,3,2,3,90,90
pack,5,compiler_key/0,new,142.9,142.1,169.3,313.5,6998120.6,1,0,1,27,27
pack,5,runtime_key/1,old,604.0,555.5,646.3,1312.4,1655752.3,2,4,2,140,140
pack,5,runtime_key/1,new,183.0,159.1,224.1,402.0,5465705.9,1,0,1,27,27
pack,5,compiler_key/1,old,937.7,894.0,1010.6,2042.1,1066389.0,6,4,6,708,708
pack,5,compiler_key/1,new,263.6,243.3,297.1,579.0,3793295.1,1,0,1,27,27
pack,5,runtime_key/6,old,1029.5,983.7,1198.4,2218.8,971306.6,2,6,2,380,380
pack,5,runtime_key/6,new,322.7,308.7,463.4,708.8,3098570.2,1,0,1,27,27
pack,5,compiler_key/6,old,2220.4,2162.2,2421.8,4855.7,450362.3,16,6,16,1045,1045
pack,5,compiler_key/6,new,751.8,633.6,770.1,1624.4,1330172.4,1,0,1,27,27
pack,5,runtime_key/11,old,1412.4,1327.7,1558.5,3098.9,708025.8,2,7,2,700,700
pack,5,runtime_key/11,new,531.4,485.4,689.6,1164.5,1881920.5,1,0,1,27,27
pack,5,compiler_key/11,old,3349.8,3269.7,3457.5,7309.4,298522.7,26,7,26,1454,1454
pack,5,compiler_key/11,new,1193.9,1096.2,1426.0,2506.4,837610.7,1,0,1,27,27
pack,5,pack_load/0x0,old,901175.0,884712.5,983787.5,1953605.0,1109.7,51,25,51,167286,167286
pack,5,pack_load/0x0,new,770250.0,746462.5,810337.5,1688586.1,1298.3,47,25,47,166874,166874
