affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,2,new-first,tracked,meshes_same_z,old,47849.6,47523.8,52155.9,106797.1,42800767.4,0,0,0,0,0
2,2,new-first,tracked,meshes_cameras,new,56260.5,55505.9,57456.2,125181.9,36402063.5,0,0,0,0,0
2,2,new-first,tracked,meshes_cameras,old,57820.7,56519.1,61228.9,128379.2,35419839.1,0,0,0,0,0
2,2,new-first,tracked,tmesh_layers,new,68041.4,67437.5,76247.3,150521.3,30099319.1,0,0,0,0,0
2,2,new-first,tracked,tmesh_layers,old,70415.6,67503.9,77432.0,156074.0,29084453.9,0,0,0,0,0
2,2,new-first,tracked,tmesh_16layers,new,68922.7,67979.7,69724.2,151948.9,29714467.1,0,0,0,0,0
2,2,new-first,tracked,tmesh_16layers,old,74730.5,70760.9,76022.7,163705.9,27405153.9,0,0,0,0,0
2,2,new-first,tracked,tmesh_depth,new,94957.8,83703.1,96878.1,185348.0,21567472.4,0,0,0,0,0
2,2,new-first,tracked,tmesh_depth,old,88678.9,68464.5,92893.0,184053.3,23094556.4,0,0,0,0,0
2,2,new-first,tracked,tmesh_cameras,new,104102.3,79962.1,105784.4,208530.1,19672948.0,0,0,0,0,0
2,2,new-first,tracked,tmesh_cameras,old,96630.9,93987.5,104478.5,202380.7,21194057.6,0,0,0,0,0
2,2,new-first,tracked,mixed,new,58216.0,51346.5,75128.9,118981.9,35179322.7,0,0,0,0,0
2,2,new-first,tracked,mixed,old,55209.8,45203.5,66462.9,115395.3,37094886.7,0,0,0,0,0
2,3,old-first,untracked,sprites_layers,old,12943.0,9160.2,16234.4,29841.7,158232631.1,0,0,0,0,0
2,3,old-first,untracked,sprites_layers,new,4536.7,4175.8,5562.1,11235.7,451427587.4,0,0,0,0,0
2,3,old-first,untracked,sprites_16layers,old,4155.9,3956.2,4541.8,10519.7,492798195.3,0,0,0,0,0
2,3,old-first,untracked,sprites_16layers,new,4167.2,3634.0,6392.2,10836.9,491458567.7,0,0,0,0,0
2,3,old-first,untracked,sprites_same_z,old,4455.5,4340.6,6707.4,11855.6,459659828.2,0,0,0,0,0
2,3,old-first,untracked,sprites_same_z,new,4334.0,3557.4,4860.2,10524.8,472544389.4,0,0,0,0,0
2,3,old-first,untracked,sprites_textures,old,15629.3,13644.5,16945.3,35499.8,131035965.1,0,0,0,0,0
2,3,old-first,untracked,sprites_textures,new,12392.6,11846.1,13495.7,28525.6,165260204.9,0,0,0,0,0
2,3,old-first,untracked,sprites_fragmented,old,14753.1,13498.8,16009.8,33592.9,138818047.0,0,0,0,0,0
2,3,old-first,untracked,sprites_fragmented,new,16087.5,15640.2,17719.9,35096.0,127303807.3,0,0,0,0,0
2,3,old-first,untracked,meshes_layers,old,48712.1,48345.7,56016.0,109166.1,42042934.0,0,0,0,0,0
2,3,old-first,untracked,meshes_layers,new,58636.7,47729.3,60266.8,131207.0,34926920.3,0,0,0,0,0
2,3,old-first,untracked,meshes_same_z,old,47710.5,46781.6,49520.7,107067.1,42925519.3,0,0,0,0,0
2,3,old-first,untracked,meshes_same_z,new,47355.1,46748.0,47991.8,106190.0,43247737.8,0,0,0,0,0
2,3,old-first,untracked,meshes_cameras,old,57137.9,56302.3,58680.5,127734.4,35843115.3,0,0,0,0,0
2,3,old-first,untracked,meshes_cameras,new,58781.2,57944.9,68209.8,131158.1,34841042.0,0,0,0,0,0
2,3,old-first,untracked,tmesh_layers,old,69057.8,66934.4,74906.2,153743.5,29656311.5,0,0,0,0,0
2,3,old-first,untracked,tmesh_layers,new,68670.3,67240.2,71047.3,153016.4,29823659.2,0,0,0,0,0
2,3,old-first,untracked,tmesh_16layers,old,84639.8,79450.8,85092.2,188253.0,24196642.0,0,0,0,0,0
2,3,old-first,untracked,tmesh_16layers,new,83238.3,69325.0,86005.9,185273.4,24604064.0,0,0,0,0,0
2,3,old-first,untracked,tmesh_depth,old,85193.0,73044.1,87814.1,189413.1,24039542.6,0,0,0,0,0
2,3,old-first,untracked,tmesh_depth,new,68665.6,67283.2,102248.8,151576.7,29825695.2,0,0,0,0,0
2,3,old-first,untracked,tmesh_cameras,old,102913.7,100943.0,106700.8,207169.4,19900174.2,0,0,0,0,0
2,3,old-first,untracked,tmesh_cameras,new,75904.7,74255.9,99520.3,167257.3,26981205.9,0,0,0,0,0
2,3,old-first,untracked,mixed,old,44562.9,43443.0,47587.5,99487.5,45957521.4,0,0,0,0,0
2,3,old-first,untracked,mixed,new,43126.6,42788.7,44379.7,96327.1,47488134.5,0,0,0,0,0
2,3,old-first,tracked,sprites_layers,old,6372.7,6012.5,7668.0,15172.9,321373053.8,0,0,0,0,0
2,3,old-first,tracked,sprites_layers,new,3764.8,3589.1,3964.8,9855.2,543980078.9,0,0,0,0,0
2,3,old-first,tracked,sprites_16layers,old,4059.8,3875.8,4374.6,10518.0,504462619.1,0,0,0,0,0
2,3,old-first,tracked,sprites_16layers,new,3848.4,3551.6,3966.0,10056.7,532164027.6,0,0,0,0,0
2,3,old-first,tracked,sprites_same_z,old,3833.6,3619.5,4355.5,9864.6,534224577.1,0,0,0,0,0
2,3,old-first,tracked,sprites_same_z,new,3593.8,3500.4,3877.7,9406.8,569878260.9,0,0,0,0,0
2,3,old-first,tracked,sprites_textures,old,17023.4,16719.9,17688.3,38863.5,120304726.9,0,0,0,0,0
2,3,old-first,tracked,sprites_textures,new,17568.8,16939.8,17958.2,40045.9,116570615.4,0,0,0,0,0
